id;lat;lon;name;operator
1;59.4376452;24.7450592;Luminor;Luminor
2;58.5361431;25.4691512;Swedbank;Swedbank
3;58.3673499;25.5930597;SEB;SEB
4;58.3665615;25.5921456;Swedbank;Swedbank
5;59.4452735;25.441298;SEB;SEB
6;59.4452689;25.44124;Swedbank;Swedbank
7;58.990255;22.7546779;Swedbank;Swedbank
8;59.4447713;24.7614582;SEB;SEB
9;58.3803598;26.7224471;SEB;SEB
10;58.2724472;26.5210577;Swedbank;Swedbank
11;58.3499876;26.723616;SEB;SEB
12;58.3866503;26.723947;Swedbank;Swedbank
13;58.3787393;26.7506531;Swedbank;Swedbank
14;58.37499;26.7565657;Swedbank;Swedbank
15;58.3500351;26.7236121;Swedbank;Swedbank
16;58.3736052;26.7509096;Swedbank;Swedbank
17;58.3683323;26.7667511;Swedbank;Swedbank
18;58.3728327;26.7540171;Swedbank;Swedbank
19;58.3735337;26.750902;Swedbank;Swedbank
20;58.3698329;26.7687106;Swedbank;Swedbank
21;58.3740592;26.767879;Swedbank;Swedbank
22;58.3762156;26.7119273;Swedbank;Swedbank
23;58.3683817;26.7029487;Swedbank;Swedbank
24;58.3801268;26.7235119;Swedbank;Swedbank
25;58.3820202;26.7301497;Swedbank;Swedbank
26;58.3683274;26.7391763;Swedbank;Swedbank
27;58.3778377;26.7266931;Swedbank;Swedbank
28;58.3603317;26.6773086;Swedbank;Swedbank
29;58.3585685;26.6737975;Swedbank;Swedbank
30;58.3786503;26.7314723;Swedbank;Swedbank
31;58.3479221;26.7195323;Swedbank;Swedbank
32;58.3607933;26.7324102;Swedbank;Swedbank
33;58.3853366;26.6946235;Swedbank;Swedbank
34;58.3639665;26.740947;Swedbank;Swedbank
35;58.3607861;26.7324102;Swedbank;Swedbank
36;58.377192;26.7314484;Swedbank;Swedbank
37;58.3430523;26.7150329;Swedbank;Swedbank
38;58.355848;26.721232;Swedbank;Swedbank
39;58.3760047;26.6967625;Swedbank;Swedbank
40;58.3816369;26.7517347;Swedbank;Swedbank
41;58.2620144;22.4851827;SEB;SEB
42;59.3250967;24.552983;Swedbank;Swedbank
43;59.4347581;24.7468495;SEB;SEB
44;59.3841723;28.1571196;Swedbank;Swedbank
45;59.3800126;28.1882199;Nordea;Nordea
46;59.3892864;28.1757129;SEB;SEB
47;59.4342323;24.7439535;Swedbank;Swedbank
48;59.5795994;25.7241677;Swedbank;Swedbank
49;58.7052217;22.5968949;Swedbank;Swedbank
50;59.4363329;24.7546228;Swedbank;Swedbank
51;59.4367475;24.752359;Swedbank;Swedbank
52;59.3524896;24.0550835;SEB;SEB
53;59.1673872;24.7497344;Swedbank;Swedbank
54;59.1814809;24.7813171;Swedbank;Swedbank
55;58.2532195;22.4863239;Swedbank;Swedbank
56;59.4360815;24.8227309;SEB;SEB
57;59.4345675;24.832183;Swedbank;Swedbank
58;58.0022813;25.9229362;SEB;SEB
59;58.0537438;27.056767;Swedbank;Swedbank
60;59.436327;24.7501662;Swedbank;Swedbank
61;59.4320339;24.8235538;Swedbank;Swedbank
62;58.3152606;26.7218493;Swedbank;Swedbank
63;59.4319583;24.7807892;Swedbank;Swedbank
64;59.3918213;24.7217979;Swedbank;Swedbank
65;59.3877339;24.68384;Swedbank;Swedbank
66;59.3276826;27.4203747;Swedbank;Swedbank
67;58.3864611;26.7243555;SEB;SEB
68;58.0826917;24.5016892;Swedbank;Swedbank
69;59.5792849;25.7279362;Swedbank;Swedbank
70;59.5821582;25.7213677;SEB;SEB
71;58.0630061;27.070169;Swedbank;Swedbank
72;58.9210812;24.457175;Swedbank;Swedbank
73;58.3780142;24.5329188;SEB;SEB
74;58.3780403;24.5328371;Swedbank;Swedbank
75;58.4040657;24.4921507;SEB;SEB
76;58.4084945;24.4942297;SEB;SEB
77;58.3917797;24.4940917;SEB;SEB
78;58.4084952;24.4942573;Swedbank;Swedbank
79;58.3865783;24.5027164;SEB;SEB
80;58.3817518;24.5118154;SEB;SEB
81;58.4040749;24.4914285;Swedbank;Swedbank
82;58.3596542;24.5693982;Swedbank;Swedbank
83;58.375037;24.5364436;Swedbank;Swedbank
84;58.3873027;24.5037526;Swedbank;Swedbank
85;58.3848946;24.5042347;Swedbank;Swedbank
86;59.4304099;24.7681678;SEB;SEB
87;58.3846759;24.5041548;SEB;SEB
88;59.3885939;24.6829543;Swedbank;Swedbank
89;57.8481252;27.0048167;SEB;SEB
90;57.8480853;27.0047095;Swedbank;Swedbank
91;57.8289805;26.527815;Swedbank;Swedbank
92;58.2342735;26.4143649;SEB;SEB
93;58.2342183;26.4143274;Swedbank;Swedbank
94;59.3086825;24.424315;Swedbank;Swedbank
95;59.4304816;24.7395348;SEB;SEB
96;59.3487583;26.3632239;Swedbank;Swedbank
97;58.3849628;26.6918766;SEB;SEB
98;58.2556097;22.4931498;Swedbank;Swedbank
99;58.2631902;22.5078611;Swedbank;Swedbank
100;58.2542739;22.4859598;SEB;SEB
101;58.2479937;22.4732789;Swedbank;Swedbank
102;58.3761836;26.6963328;SEB;SEB
103;58.3763201;26.6976376;LHV;LHV
104;57.8356694;27.0100902;Swedbank;Swedbank
105;57.8353496;27.0098572;SEB;SEB
106;57.84607;26.9984632;Swedbank;Swedbank
107;57.8467463;26.9994356;SEB;SEB
108;57.7294122;26.9174595;Swedbank;Swedbank
109;59.3527714;24.0561612;Swedbank;Swedbank
110;59.4316445;24.740448;Swedbank;Swedbank
111;58.3917999;24.4940852;Swedbank;Swedbank
112;58.3821873;24.5123242;Swedbank;Swedbank
113;59.4399052;24.7376002;Swedbank;Swedbank
114;58.3706735;25.5836337;SEB;SEB
115;58.3530877;25.5838088;SEB;SEB
116;58.3645286;25.6004624;Swedbank;Swedbank
117;58.3682463;25.5985977;SEB;SEB
118;58.3705838;25.583597;Swedbank;Swedbank
119;58.3690682;25.5988879;SEB;SEB
120;58.3530206;25.5838118;Swedbank;Swedbank
121;58.5716483;22.6821425;Swedbank;Swedbank
122;59.3136397;24.4218682;Swedbank;Swedbank
123;59.4357423;24.8105343;Swedbank;Swedbank
124;59.1293052;26.2526929;Swedbank;Swedbank
125;59.3075612;24.3992078;SEB;SEB
126;59.3075665;24.3994772;Swedbank;Swedbank
127;59.442385;24.8754364;Swedbank;Swedbank
128;59.3474394;24.0626704;SEB;SEB
129;59.3647208;27.4005616;Unknown;Unknown
130;59.3579135;27.4186826;Unknown;Unknown
131;59.3581541;27.4142086;Unknown;Unknown
132;59.3584494;27.4110544;Swedbank;Swedbank
133;59.3574159;27.4180174;Unknown;Unknown
134;58.8033735;25.4295748;SEB;SEB
135;58.8033644;25.4294469;Swedbank;Swedbank
136;58.8083336;25.4272718;Swedbank;Swedbank
137;59.4387024;24.8317099;Swedbank;Swedbank
138;59.4391006;24.8321713;Swedbank;Swedbank
